mbid,artist_name,url,listeners,playcount,similar_artists,tags,bio_summary
3cdb40fe-a63e-4bb9-b40d-17cda5f50979,Little Simz,https://www.last.fm/music/Little+Simz,757980,30990832,"['Sampa the Great', 'Noname', 'JID', 'Loyle Carner', 'Enny']","['rap', 'Hip-Hop', 'hip hop', 'seen live', 'Grime']","Simbiatu ""Simbi"" Abisola Abiola Ajikawo, better known by her stage name Little Simz, is a British rapper, singer and actress. She rose to prominence with the independent release of her first three albums, namely A Curious Tale of Trials + Persons (2015), Stillness in Wonderland (2016) and Grey Area (2019), the latter of which was shortlisted for the Mercury Prize and won the awards for Best Album at both the Ivor Novello Awards and the NME Awards. <a href=""https://www.last.fm/music/Little+Simz"">Read more on Last.fm</a>"
54799c0e-eb45-4eea-996d-c4d71a63c499,Ella Fitzgerald,https://www.last.fm/music/Ella+Fitzgerald,2577351,47548031,"['Ella Fitzgerald & Louis Armstrong', 'Sarah Vaughan', 'Billie Holiday', 'Dinah Washington', 'Louis Armstrong']","['jazz', 'female vocalists', 'blues', 'swing', 'jazz vocal']","Ella Jane Fitzgerald (April 25, 1917 – June 15, 1996) was an American jazz vocalist with a vocal range spanning three octaves (D♭3 to D♭6). Often referred to as the ""First Lady of Song"" and the ""Queen of Jazz"" or just simply ""Lady Ella"", she was noted for her purity of tone, impeccable diction, phrasing and intonation, and a ""horn-like"" improvisational ability, particularly in her scat singing.
Fitzgerald was a notable interpreter of the Great American Songbook. <a href=""https://www.last.fm/music/Ella+Fitzgerald"">Read more on Last.fm</a>"
N/A,Damlif,https://www.last.fm/music/Damlif,11445,139002,"['Sheldon', 'Jeune Mort', 'Keroué', 'Nunca', 'Gen']",[]," <a href=""https://www.last.fm/music/Damlif"">Read more on Last.fm</a>"
cfbc0924-0035-4d6c-8197-f024653af823,Nas,https://www.last.fm/music/Nas,2983388,110071548,"['JAY-Z', 'Mobb Deep', 'AZ', 'Gang Starr', 'Raekwon']","['Hip-Hop', 'rap', 'hip hop', 'east coast rap', 'new york']","Nasir bin Olu Dara Jones, more commonly known as Nas (formerly Nasty Nas and Escobar), born September 14, 1973 in Crown Heights, Brooklyn, New York, is a prominent American MC. The son of jazz musician Olu Dara, he was raised in the infamous Queensbridge housing projects in Queensbridge, New York. According to the Nasty Songfacts, as a teenager rapper, Nasir  first went by the nickname Kid Wave before adopting his more commonly known alias of Nasty Nas. <a href=""https://www.last.fm/music/Nas"">Read more on Last.fm</a>"
a380460c-029c-481a-a8c7-0ccc0a7369db,Supreme Jubilees,https://www.last.fm/music/Supreme+Jubilees,51571,261744,"['Darondo', 'Papa Bear & His Cubs', 'Little Beaver', 'Syl Johnson', 'Pastor T.L. Barrett and The Youth for Christ Choir']","['soul', 'gospel', '70s', 'USA', 'melodic']"," <a href=""https://www.last.fm/music/Supreme+Jubilees"">Read more on Last.fm</a>"
N/A,The Blaze,https://www.last.fm/music/The+Blaze,368165,7883075,"['French 79', 'Kid Francescoli', 'Thylacine', 'Parra for Cuva', 'Ben Böhmer']","['House', 'seen live', 'electronic', 'deep house', 'french']","French producer/director tandem The Blaze are cousins Guillaume and Jonathan Alric.

They began making music together when Jonathan, who was at film school in Brussels, asked Guillaume to work with him on a music video soundtrack.

As a duo they took the name The Blaze. They have explained that in addition to the strength and warmth suggested by the name, it means ""name"" in French slang.

Their distinctive integrative method involves producing sound and visuals at the same time, creating an especially strong link between music and image. <a href=""https://www.last.fm/music/The+Blaze"">Read more on Last.fm</a>"
0135e5ec-4ffd-46e5-9c3c-566b3df46a8d,Suprême NTM,https://www.last.fm/music/+noredirect/Supr%C3%AAme+NTM,132342,2620187,"['IAM', 'Fonky Family', 'Akhenaton', ""Shurik'n"", 'Sniper']","['Hip-Hop', 'rap', 'french', 'rap francais', 'french rap']","Suprême NTM (or simply NTM) was a very influential French Hip Hop group formed in 1989 in the Seine-Saint-Denis département. The group comprised rappers Joey Starr (born Didier Morville) and Kool Shen (born Bruno Lopès). Their six albums were released by Sony Music Entertainment.

The group takes its name from the French slang ""NTM"", an abbreviation for ""Nique Ta Mère"" (""Nique"" being an aphesis of the verb ""forniquer"", ""to fornicate"") meaning ""Fuck Your Mother"". <a href=""https://www.last.fm/music/+noredirect/Supr%C3%AAme+NTM"">Read more on Last.fm</a>"
7aa4a16e-9d5a-41d3-968e-fae1a2c84d05,IAM,https://www.last.fm/music/IAM,181600,4157905,"['Suprême NTM', 'Akhenaton', ""Shurik'n"", 'Fonky Family', 'Oxmo Puccino']","['Hip-Hop', 'french', 'rap', 'french rap', 'hip hop']","IAM was first formed in late 1985 by Akhenaton and Khéops in Marseille, France, under the initial name Lively Crew. Lively Crew became B.Boys Stance some time during summer 1987, after which it was joined by Shurik'n, Freeman and Imhotep. In 1989 the group was renamed IAM, and they produced their first album, IAM Concept which was released the following year. They signed a contract with Virgin, and went on to publish the album De la planète Mars in 1991, which became a major hit in France. <a href=""https://www.last.fm/music/IAM"">Read more on Last.fm</a>"
N/A,Infravision,https://www.last.fm/music/Infravision,6276,45149,"['Pablo Bozzi', 'Alen Skanner', 'Schwefelgelb', 'Sydney Valette', 'Kontravoid']","['ebm', 'techno', 'industrial', 'breakbeat', 'synthwave']","INFRAVISION is Kendal & Pablo Bozzi. Hailing from Toulouse, southwest France, and both inspired by 80s and 90s sounds, they recently separately released four highly acclaimed solo EPs: Manifesto (Moustache Records) and Inferno (Dischi Autunno) by Kendal, and Walk on Wire (Bite) and Last Moscow Mule (Dischi Autunno) by Pablo Bozzi. Their collaboration started in 2019 with Corpo Meccanico, released on Kendal first EP Manifesto , a Blade Runner-inspired admixture of their mutual, primary inspirations: Italo disco, EBM and early trance. <a href=""https://www.last.fm/music/Infravision"">Read more on Last.fm</a>"
c381d0eb-d04b-4a17-aacd-a48d64bdee9c,The Mighty Bop,https://www.last.fm/music/The+Mighty+Bop,63746,1178835,"['Soma Sonic', 'Zimpala', 'Marsmobil', 'Rainstick Orchestra', 'Bobby Hughes Combination']","['acid jazz', 'lounge', 'chillout', 'electronic', 'jazz']","The Mighty Bop is a pseudonym of Christophe Le Friant, better known by the alias Bob Sinclar. Born 10 May 1967, he is a Grammy Award-nominated French record producer, House music DJ, remixer and owner of the label Yellow Productions.
Sinclar started DJing in 1986, when he was 18 years old, specialising in funk and hip-hop music, with the name Chris The French Kiss. His first club hit was ""Gym Tonic"", which was co-produced by Thomas Bangalter of Daft Punk, featuring vocals illegally taken from a Jane Fonda fitness tape. <a href=""https://www.last.fm/music/The+Mighty+Bop"">Read more on Last.fm</a>"
