track_name,artist_name,parole
Lets Go,FCL,"{""error"":""seems like lyrics didn't exist on Musixmatch server.""}"
N.Y. State of Mind,Nas,"[00:01.35]Yeah, yeah
[00:04.15]Ayo Black, it's time, word (word, it's time, man)
[00:07.67]It's time, man (a'ight, man, begin)
[00:10.82]Yeah, straight out the fuckin' dungeons of rap
[00:14.91]Where fake niggas don't make it back
[00:19.61]I don't know how to start this shit, yo, now
[00:22.84]Rappers, I monkey flip 'em with the funky rhythm
[00:25.06]I be kickin', musician inflictin' composition of pain, I'm like Scarface sniffin' cocaine
[00:30.72]Holdin' an M16, see, with the pen I'm extreme
[00:33.73]Now, bullet holes left in my peepholes
[00:36.03]I'm suited up with street clothes, hand me a .9, and I'll defeat foes
[00:40.11]Y'all know my steelo, with or without the airplay
[00:42.47]I keep some E&J, sittin' bent up in the stairway
[00:45.52]Or either on the corner bettin' Grants with the cee-lo champs
[00:48.53]Laughin' at base-heads, tryna sell some broken amps
[00:51.43]G-packs get off quick, forever niggas talk shit
[00:53.98]Reminiscin' about the last time the task force flipped
[00:57.05]Niggas be runnin' through the block shootin'
[00:59.19]Time to start the revolution, catch a body, head for Houston
[01:02.04]Once they caught us off-guard, the MAC-10 was in the grass, and
[01:04.89]I ran like a cheetah, with thoughts of an assassin
[01:07.87]Picked the MAC up, told brothers ""Back up!"", the MAC spit
[01:10.88]Lead was hittin' niggas, one ran, I made him back-flip
[01:13.79]Heard a few chicks scream, my arm shook, couldn't look
[01:16.50]Gave another squeeze, heard it click, ""Yo, my shit is stuck!""
[01:19.43]Tried to cock it, it wouldn't shoot, now I'm in danger
[01:22.07]Finally, pulled it back and saw three bullets caught up in the chamber
[01:25.46]So, now I'm jettin' to the buildin' lobby
[01:27.56]And it was full of children, prob'ly couldn't see as high as I be
[01:30.31](So, what you sayin'?) It's like the game ain't the same
[01:32.74]Got younger niggas pullin' the triggers, bringin' fame to their name
[01:36.22]And claim some corners, crews without guns are goners
[01:39.07]In broad daylight, stick-up kids, they run up on us
[01:41.81].45's and gauges, MAC's in fact
[01:44.45]Same niggas will catch you back-to-back, snatchin' your cracks in black
[01:47.98]There was a snitch on the block gettin' niggas knocked
[01:50.93]So hold your stash 'til the coke price drop
[01:53.09]I know this crackhead who said she gotta smoke nice rock
[01:55.75]And if it's good, she'll bring you customers and measuring pots
[01:58.66]But yo, you gotta slide on a vacation
[02:01.31]Inside information keeps large niggas erasin' and their wives basin'
[02:05.28]It drops deep as it does in my breath
[02:07.57]I never sleep, 'cause sleep is the cousin of death
[02:10.09]Beyond the walls of intelligence, life is defined
[02:12.92]I think of crime when I'm in a New York State of Mind
[02:17.60]New York state of mind
[02:20.32]New York state of mind
[02:23.19]New York state of mind
[02:25.66]New York state of mind
[02:26.43]Be havin' dreams that I'm a gangsta, drinkin' Moëts, holdin' TEC's
[02:30.23]Makin' sure the cash came correct, then I stepped
[02:33.35]Investments in stocks, sewin' up the blocks to sell rocks
[02:36.90]Winnin' gunfights with mega-cops
[02:38.31]But just a nigga walkin' with his finger on the trigger
[02:41.54]Make enough figures until my pockets get bigger
[02:44.80]I ain't the type of brother made for you to start testin'
[02:47.64]Give me a Smith & Wesson, I'll have niggas undressin'
[02:50.52]Thinkin' of cash flow, Buddha, and shelter
[02:53.37]Whenever frustrated, I'ma hijack Delta
[02:55.91]In the PJ's, my blend tape plays, bullets are strays
[02:58.93]Young bitches is grazed, each block is like a maze
[03:01.42]Full of black rats trapped, plus the Island is packed
[03:04.43]From what I hear in all the stories when my peoples come back black
[03:07.21]I'm livin' where the nights is jet-black
[03:09.54]The fiends fight to get crack, I just max, I dream I can sit back
[03:13.08]And lamp like Capone, with drug scripts sewn
[03:15.60]Or the legal luxury life, rings flooded with stones, homes
[03:18.88]I got so many rhymes, I don't think I'm too sane
[03:21.48]Life is parallel to Hell, but I must maintain
[03:24.05]And be prosperous, though we live dangerous
[03:26.64]Cops could just arrest me, blamin' us, we're held like hostages
[03:29.99]It's only right that I was born to use mics
[03:32.64]And the stuff that I write is even tougher than dykes
[03:35.51]I'm takin' rappers to a new plateau, through rap slow
[03:38.69]My rhymin' is a vitamin held without a capsule
[03:41.55]The smooth criminal on beat breaks
[03:43.92]Never put me in your box if your shit eats tapes
[03:46.82]The city never sleeps, full of villains and creeps
[03:49.74]That's where I learned to do my hustle, had to scuffle with freaks
[03:52.58]I'm a addict for sneakers, 20's of Buddha and bitches with beepers
[03:56.14]In the streets I can greet ya, about blunts I teach ya
[03:58.98]Inhale deep like the words of my breath
[04:01.04]I never sleep, 'cause sleep is the cousin of death
[04:03.84]I lay puzzled as I backtrack to earlier times
[04:06.79]Nothing's equivalent to the New York state of mind
[04:10.99]New York state of mind
[04:13.95]New York state of mind
[04:16.74]New York state of mind
[04:19.61]New York state of mind
[04:23.04]♪
"
Heroin,The Velvet Underground,"{""error"":""seems like lyrics didn't exist on Musixmatch server.""}"
CERCLE VICIEUX,Deen Burbigo,"[00:21.20]Han, pénis taille poney sous le Levi's cartonné
[00:25.06]Chimique sur la piste, les sistas hésitent à s'coller
[00:27.33]Au-dessus des toits d'ris-Pa, j'vois mon équipage voler
[00:29.96]J'suis sous médicale violette, 'sin, l'atterrissage promet
[00:32.42]T'as jamais charbonné, gars, tu mérites pas d'baller
[00:35.05]Jamais fait un crédit, faire des illets-bi', ça m'connaît
[00:37.25]Loin des paysages dorés, la haine est vite arborée
[00:39.78]Et j'sais qu'si j'agis mal, c'est la seule image qu'j'aurai
[00:42.77]On fait pas d'chichi, on veut des sommes à six chiffres
[00:44.76]On va pas chez les psy' mais le te-shi attaque les psychismes
[00:47.57]Sous les visières, on voit tout à l'horizontal
[00:49.86]Mes gars sont bruyants mais se taisent quand ils ont mal
[00:52.32]Comme a dit l'Homme ""chaque jour que Dieu fait""
[00:54.61]La ville est mon casino et je n'fais que bluffer
[00:57.05]Surtout dans le siness-bu', faut rester vif d'esprit
[00:59.54]Quand fallait investir, t'as préféré ves-qui
[01:02.38]Maintenant, t'es à poils, tu vas jamais t'rhabiller
[01:04.35]Car, même pour jouer au Loto, bah faut d'abord mettre un billet
[01:06.99]Mon cercle est certifié, j'vais pas m'remettre à trier
[01:08.92]On m'a mis le pied au cul, on m'l'a pas mis à l'étrier
[01:11.58]Quand j'arrive, faut qu'vous annonciez l'canon scié
[01:14.24]Dans ma loge, que du jus d'gingembre, d'la beuh façon C.A
[01:17.08]Ça parle argent, j'deviens cérébral
[01:18.95]J'ferai du sale pour un dixième de la réserve fédérale
[01:21.83]Ciel étoilé comme le torse d'un général
[01:24.07]Mes mains font des joints et mon esprit fait des raps
[01:26.47]On a cassé la baraque, j'reconstruis sur des débris
[01:28.55]Quand t'es pauvre, t'attends les soldes, quand t'es riche, on t'fait des prix
[01:31.66]On leur a mis la douille, ils ont vu que du feu
[01:33.66]On était sur la paille, on pouvait faire que du feu
[01:36.55]Les traits tirés, cernes, petits yeux
[01:39.06]J'dois m'extirper d'mes cercles vicieux
[01:42.12]""Plus d'argent, plus de problèmes""
[01:44.49]Ouais, beh j'préfère mes nouveaux problèmes
[01:46.03]♪
"
Paper,Schur,"[00:00.24]Oh, I'm looking for my photograph
[00:05.68]Tucked away, I sway
[00:10.02]Tomorrow day
[00:13.65]So it kills me when you say
[00:17.86]You're nothing but a white boy, couldn't be choosy
[00:21.81]Go and live your life, boy, nothing like a movie
[00:25.75]Go and play nice, don't try to get boozy
[00:29.55]Know you got it made, oh yeah
[00:33.13]So you don't need strife, no blood, no jacuzzi
[00:37.28]Luxury is but, your friends move loosely
[00:41.04]You don't need to fly in the 488, or cry on the interstate
[00:45.69]Just stay in your lane
[00:50.02]You tell me I should go and earn my paper downtown
[00:54.04]And while that'd pay my rents, it wouldn't make them proud
[00:58.38]They said a tie is more a noose than a crown
[01:05.45]So you can stay in Gotham, where you're sure to get paid
[01:09.73]I'll be up the street, tryna get my shit played
[01:13.63]You look for diamonds while I'm looking for a heart
[01:16.98]And while I love your suit, I'd never take it for my cards
[01:20.15]I'm getting high on the views
[01:26.15]And the cold night air
[01:28.67]I got nothing to lose
[01:33.42]I'm going nowhere
[01:35.31]Oh, I'm looking for my photograph
[01:40.91]Tucked away, I sway
[01:45.54]Tomorrow day
[01:48.96]So it kills me when you say
[01:52.52]You're nothing but a white boy, couldn't be choosy
[01:57.32]Go and live your life, boy, nothing like a movie
[02:00.83]Go and play nice, don't try to get boozy
[02:04.61]Know you got it made, oh yeah
[02:08.27]So you don't need strife, no blood, no jacuzzi
[02:12.32]Luxury is tight, but your friends move loosely
[02:16.23]You don't need to fly in the 488, or cry on the interstate
[02:20.93]Just stay in your lane
[02:24.98]I'm getting high on the views
[02:30.85]And the cold night air
[02:33.59]I got nothing to lose
[02:38.34]I'm going nowhere
[02:40.89]♪
"
Clio 4,ISHA,"[00:14.18]Mon prénom, c'est Isha, Malchanceux, mon nom d'famille
[00:17.73]Méfiant, j'crois plus en l'Homme, pas b'soin d'me faire d'autres amis
[00:21.29]Thug life, c'est street shit, j'ramène toute la compagnie
[00:24.65]La vie, c'est chacun sa définition, j'veux la mienne avec grosse valise
[00:28.06]Construire et tout détruire, juste pour le plaisir
[00:31.61]Cette fois, j'amènerai des munitions (Pah, pah, pah, pah, pah)
[00:35.08]C'est vrai, j'ai peur de m'retrouver avec cette maladie
[00:38.47]J'veux pas avoir le même cœur qu'eux
[00:41.09]Et ouais, il s'en fallait de peu, heureusement, je connais leur jeu
[00:44.11]On oublie pas ceux qui nous manquent, on les enterre et après, on les pleure (Après, on les pleure, ouais)
[00:48.90]J'en ai gros sur la patate, j'suis dev'nu un poète qui s'isole
[00:51.72]J'me croyais en vacances mais ma mère, elle bossait dans c'putain d'domaine viticole
[00:55.99]Aquarium dans un Clio 4, ça écoute: Sniper - ""Du rire aux larmes""
[00:59.36]J'monte sur scène, j'suis dans l'même état qu'Bernard Minet qui chante ""Bioman""
[01:03.02]J'me déteste trop pour m'faire percer, à chaque fois que j'monte, j'crois que j'tombe
[01:06.44]J'suis plus un p'tit pour m'faire bercer, à chaque fois que j'parle, on croit que j'mens
[01:10.06]Quand j'suis avec du monde, j'me demande: ""Combien ont commis un homicide?""
[01:13.40]Combien d'meufs dans la salle s'sont déjà fait lées-vio? Combien d'mes gars ont pensé au suicide?
[01:17.11]Quand j'repense à quand j'étais enfant, j'ai la haine de c'que j'suis devenu
[01:20.24]Quand j'pense à c'que j'aurais pu devenir, j'suis content de c'que j'suis devenu
[01:24.10]Au lieu d'faire les mafieux et d'faire les Corses
[01:26.54]Aidez la mif' à faire des courses, cherche un oint-j, un biz' à faire ner-tour
[01:30.62]Les copines de ma mère et ma mère également
[01:33.57]Auraient pas misé sur le fait que j'm'en sorte légalement
[01:37.71]Yeah, ouais
[01:40.83]Yeah, ok
[01:44.22]Ouais, yeah
[01:47.43]Ouais
[01:50.31]Quand j'le fais de manière poétique, t'adores
[01:53.44]J'suis rentré dans les bails de do, ré, mi, fa, sol
[01:56.08]Y a combien d'res-frè qui m'détestent et combien d'res-frè qui m'adorent?
[01:59.10]Y a beaucoup d'projets qui cartonnent, mais y a tellement d'projets qui capotent
[02:03.38]Ça fait mal les bails de do, ré, mi, fa, sol
[02:05.48]9.3-6, si tu respectes un feu le mec derrière il t'klaxonne
[02:09.15]Aéroport de Mexico, j'vérifie la somme (Pesos)
[02:12.34]Et j'vérifie mon sac au cas où on y aurait mis d'la drogue, hé
[02:16.49]Ça fait mal les bails de do, ré, mi, fa, sol, la, si, do
[02:19.44]J'connais deux trois ssistes-gro (Logique), j'viens du 9.3-6 gros
[02:22.81]J'veux savoir où t'en es, plus savoir d'où tu viens
[02:26.09]J'aime plus beaucoup l'humain, arcade et t-shirt cousu main
[02:29.55]♪
"
Les Alizés,Georgio,"[00:21.95]Eh
[00:21.98]J'ai déjà rêvé d'un monde sans frontières, où y avait pas d'classe sociale, pas d'nom, pas d'prénom
[00:25.83]Ici pour de l'argent certain changerait la pluie en balle de plombs
[00:29.56]J'changerais l'odeur des fleurs en celle du pétrole, mais jusqu'ici tout va bien, enfin tant qu'y a du réseau
[00:34.35]Plus j'm'approche d'la vérité et plus je sens sur mes mots
[00:36.90]Pour pas blesser, pour pas voir du sang sur les autres
[00:39.12]De la poussière et d'la crasse, souvent la vérité agace
[00:42.16]On s'en veut quand on dit rien, fermer les yeux améliore pas le quotidien
[00:45.17]Alors, il m'faut cette Mercedes de bourgeois
[00:47.65]C'est ta part de bourgeois qui doit rester en petit you-voi, ouais qui fonce tout droit
[00:51.36]Y a trop d'choses que j'oublierai pas, surtout les gens qu'j'aime et ceux qui m'détestent
[00:54.70]C'est pour ça qu'j'taffe sur mes réflexes
[00:57.47]Guider à l'instinct sans GPS
[00:58.23]J'suis l'amour sans peur d'la mort et quand bien même ça peut rendre fou
[01:01.90]C'est comme ça que j'perds pas l'nord
[01:03.07]Indigné, j'te sers un ti-punch dans un casque de CRS
[01:06.15]Et si nos plans déraillent on s'enfuira par l'orient express
[01:11.30]♪
[01:24.52]J'ai mes lunettes de soleil dans une soirée mondaine
[01:33.30]Pour pas qu'tu captes que j'suis high, que j'm'en fous d'être ici, que j'serai mieux avec ma meuf
[01:37.25]Allongé sur le sable, les pieds égratignés à cause d'la barrière de corail
[01:41.41]Aventureux, j'ai jamais eu peur du feu, encore moins quand j'étais sur la paille
[01:45.37]J'me suis déjà senti connecté au point d'sentir venir un drame
[01:48.31]Tout cela, à vouloir faire d'l'argent, à faire rigoler l'diable
[01:51.16]Heureusement j'le tiens à distance, j'ai ma foi en guise de jab
[01:54.08]Suffit d'un regard pour s'comprendre, des mots qu'personnes pourra relire
[01:56.79]Si j'ai confiance, y a plus aucune promesse que j'pourrais pas tenir (pas tenir)
[02:00.97]J'voyage d'est en ouest comme les Alizés avec des souvenirs à éteindre et puis des flammes à raviver
[02:06.80]Sincèrement, j'comprends ton stress et ton eczéma
[02:08.53]Quand la nuit ça dort pas, alors qu'y a ni NBA, ni MMA et si on racontait not' parcours
[02:11.91]C'est sûr qu'ça ferait pas rêver, mais il y a des choses qu'il faut plus vivre qu'expliquer
[02:16.81]♪
"
Good Vibrations,Patrice,"[00:12.65]I-I love the colorful clothes she wears
[00:18.45]And the way the sunlight plays upon her hair
[00:24.75]I hear the sound of a gentle word
[00:30.95]On the wind that lifts her perfume through the air
[00:37.98]I'm pickin' up good vibrations
[00:40.92]She's giving me the excitations
[00:44.12]I'm pickin' up good vibrations
[00:47.23]She's giving me the excitations
[00:50.38]I'm pickin' up good vibrations
[00:53.43]She's giving me the excitations
[00:56.60]I'm pickin' up good vibrations
[00:59.62]She's giving me the excitations
[01:02.43]Close my eyes, she's somehow closer now
[01:08.68]Softly smile, I know she must be kind
[01:14.97]When I look in her eyes
[01:20.35]She goes with me to a blossom world
[01:25.86]♪
[01:27.89]I'm pickin' up good vibrations
[01:30.83]She's giving me excitations
[01:34.07]I'm pickin' up good vibrations
[01:37.16]She's giving me excitations
[01:40.25]I'm pickin' up good vibrations
[01:43.33]She's giving me excitations
[01:46.55]I'm pickin' up good vibrations
[01:49.54]She's giving me excitations
[01:52.30]♪
"
IMMUNITÉ DIPLOMATIQUE,Deen Burbigo,
Tourne la page,Darzack,"{""error"":""seems like lyrics didn't exist on Musixmatch server.""}"
