track_id,track_name,artist_id,artist_name,popularity,duration_ms,explicit,album_name,album_id,album_release_date,album_type,album_total_tracks,album_images,preview_url,external_urls
1K7vZdj0UkJeHtlc7isPW0,Let's Go,5P1m0YM0AYTKGI5ugWfQwe,FCL,16,332950,False,Vocals for Everyone EP,5yI8Vt7j3QUY8T7RAnwHHY,2010-02-25,single,4,https://i.scdn.co/image/ab67616d0000b273bb8c251d16b2a3acff7431ec,,https://open.spotify.com/track/1K7vZdj0UkJeHtlc7isPW0
0trHOzAhNpGCsGBEu7dOJo,N.Y. State of Mind,20qISvAhX20dpIbOOzGK3q,Nas,69,293973,True,Illmatic,3kEtdS2pH6hKcMU9Wioob1,1994-04-19,album,10,https://i.scdn.co/image/ab67616d0000b273045fc920ecf4f8094888ec26,,https://open.spotify.com/track/0trHOzAhNpGCsGBEu7dOJo
5by3w3NXvwDpV9FBSOR35u,Heroin,1nJvji2KIlWSseXRSlNYsC,The Velvet Underground,52,433573,False,The Velvet Underground & Nico 45th Anniversary,4xwx0x7k6c5VuThz5qVqmV,1967-03-12,album,11,https://i.scdn.co/image/ab67616d0000b27398260c528e6eec9dd431c1d7,,https://open.spotify.com/track/5by3w3NXvwDpV9FBSOR35u
6S80R9k0eVYlWcBwErq0Cp,CERCLE VICIEUX,2OTfhbxhBO1u1bAuCy6ouu,Deen Burbigo,40,121101,True,Cercle vertueux,4Oo3WoU54dUpa22fYPsYDi,2020-11-06,album,15,https://i.scdn.co/image/ab67616d0000b27330baf01b00d9afedc52851c4,,https://open.spotify.com/track/6S80R9k0eVYlWcBwErq0Cp
6hFDvCqpc2Ew99YSrVE9Gg,Paper,0lidIulPhPCS2cN4qDatt7,Schur,33,175419,True,Paper Cup,5GK49W7zIYWbFvDEq8kwHp,2024-06-28,single,2,https://i.scdn.co/image/ab67616d0000b2738353975b202c39f363d30dcf,,https://open.spotify.com/track/6hFDvCqpc2Ew99YSrVE9Gg
3m5hclPnLqYfPYsrprPYur,Clio 4,0dSh0CIa0HPd9kJmJSmGQo,ISHA,45,157042,True,Bitume Caviar (Vol.1),3Fr9OWBaK5i1nZh0BT38jN,2023-12-01,album,11,https://i.scdn.co/image/ab67616d0000b273a7f9118d82700a41c3b3d82d,,https://open.spotify.com/track/3m5hclPnLqYfPYsrprPYur
30iT02a44A03hBjnR3TsJr,Les Alizés,6Xc0KDqzw5u6EQLgdfeoKO,Georgio,35,211307,True,Années Sauvages Part. 2,5p14nDbenYj1UxuSNU8EVH,2023-11-10,album,29,https://i.scdn.co/image/ab67616d0000b27324e18d9f28c0bd9ac48c7e60,,https://open.spotify.com/track/30iT02a44A03hBjnR3TsJr
0xuC7aT87GQ45s4yxT54T5,Good Vibrations,1fBcQOi8yEfWN7fknMoqIE,Patrice,48,139571,False,Super Album,1JYo26SGw7AyOnptuPpfCz,2022-10-06,album,13,https://i.scdn.co/image/ab67616d0000b273b436bc3876b04ed3418d01b6,,https://open.spotify.com/track/0xuC7aT87GQ45s4yxT54T5
7ChMSjiUvTQ09yZtPtbyl3,IMMUNITÉ DIPLOMATIQUE,2OTfhbxhBO1u1bAuCy6ouu,Deen Burbigo,43,163932,True,Cercle vertueux,4Oo3WoU54dUpa22fYPsYDi,2020-11-06,album,15,https://i.scdn.co/image/ab67616d0000b27330baf01b00d9afedc52851c4,,https://open.spotify.com/track/7ChMSjiUvTQ09yZtPtbyl3
18iEisezm3aHatyD4ZQ3ge,Tourne la page,0wncRgVHLc3DuADU7WSrwu,Darzack,27,457391,False,Advent Calendar,4geMEvc1XPWWDXXSX809PQ,2020-01-07,album,22,https://i.scdn.co/image/ab67616d0000b273fe1462ccebfb339cc7845d39,,https://open.spotify.com/track/18iEisezm3aHatyD4ZQ3ge
0dMd4rilfd6gPbXaLpNYhu,Higher Ground,7guDJrEfX3qb6FEbdPA5qi,Stevie Wonder,63,222600,False,Innervisions,5jgI8Eminx9MmLBontDWq8,1973-08-03,album,9,https://i.scdn.co/image/ab67616d0000b273ea8ab1a548312b79ac955266,,https://open.spotify.com/track/0dMd4rilfd6gPbXaLpNYhu
1COYNecOxmnapvty8PVR4s,GP,58wXmynHaAWI5hwlPZP3qL,Booba,40,151061,True,ULTRA,6BpbeB9VUpEBID5maQ8sHl,2021-03-04,album,14,https://i.scdn.co/image/ab67616d0000b273b7c26131d453d1d9afb81aa0,,https://open.spotify.com/track/1COYNecOxmnapvty8PVR4s
1rcKAD9qod5u8ot2QRcdB4,In Your Phase,3y1SoTOdrmRNTBVph5T0VZ,Laurent Garnier,24,491148,False,33 Tours Et Puis S’en Vont,3XSKAzY7vrFudIP2aafoBE,2023-05-26,album,17,https://i.scdn.co/image/ab67616d0000b273df6b592b1c019b0e7f08233f,,https://open.spotify.com/track/1rcKAD9qod5u8ot2QRcdB4
3xCcqxfHLRnX6RONKrdNZY,Smalltown Boy - Nova Version,6bcVuNO2JKqacO1ITmA6jK,Catastrophe,36,227178,False,Fizzy,6kNs01RKqey7i1JZy2euvl,2020-06-29,compilation,8,https://i.scdn.co/image/ab67616d0000b273a74a5764cbc34fdaf33b00a5,,https://open.spotify.com/track/3xCcqxfHLRnX6RONKrdNZY
2DIqPQY9scuv8IeJA1Ouep,Do You Believe,5XduRGfkKVRVqyEJ0D9trw,Supreme Jubilees,34,241680,False,It'll All Be Over,3CLdAhzRYwIIf06iDSvlPA,2015-01-20,album,9,https://i.scdn.co/image/ab67616d0000b273934837ae8aebc174f0067a79,,https://open.spotify.com/track/2DIqPQY9scuv8IeJA1Ouep
62GQZvU2thgtr6DcnzzjLZ,This Feeling I Get,0Mqy0WLIhiV2g1WanUInzx,Doug Shorts,38,226533,False,Casual Encounter,4M0rxKyC5TgzKos1FFZOTr,2019-08-23,single,6,https://i.scdn.co/image/ab67616d0000b27382d50a92a2ec597d352c9954,,https://open.spotify.com/track/62GQZvU2thgtr6DcnzzjLZ
4lTC96tH07iLNHCmuFn3rS,DREAMER,1Dt1UKLtrJIW1xxRBejjos,The Blaze,47,339453,False,JUNGLE,409STQlcajDkM1vdhM4Qxo,2023-03-10,album,10,https://i.scdn.co/image/ab67616d0000b2733e6e0eadcb26d0e1a2bb0f48,,https://open.spotify.com/track/4lTC96tH07iLNHCmuFn3rS
0h6C2via979KOyZJ0k2gfJ,Slits,7FpOGzPK8QgIpFOky6PnGk,Sporto Kantès,38,150160,False,3 At Last,12i4o97pTCfxnyTiHHhr8R,2008-03-30,album,12,https://i.scdn.co/image/ab67616d0000b2738ab6b33c850b52a6de03a96c,,https://open.spotify.com/track/0h6C2via979KOyZJ0k2gfJ
1qRA5BS78u3gME0loMl9AA,For What It's Worth,3eskO5m0H4yiF64vRySBjr,Buffalo Springfield,77,153693,False,Buffalo Springfield,3PkdGRruLnJ9zCtANiDrpB,1966-12-05,album,12,https://i.scdn.co/image/ab67616d0000b273d231bd1716b71b6444e25f89,,https://open.spotify.com/track/1qRA5BS78u3gME0loMl9AA
6stD30UhwQWA3wIALBdJSw,Les princes de la ville,5nTMNNNwQMoCYgzUXdUaB6,113,6,296333,False,Illegal music,0zFSvFoC3sahAgPbExAXh0,2002-05-08,compilation,12,https://i.scdn.co/image/ab67616d0000b273809cad93f77bebe5e0c06f6d,,https://open.spotify.com/track/6stD30UhwQWA3wIALBdJSw
0J9uaeOd7GZi9MTybtqAD4,Self,3ETLPQkcEd7z4k3IbZmXMq,Cleo Sol,67,199615,False,Heaven,6aWsHOGYXoEY1kxnxGMLwU,2023-09-15,album,9,https://i.scdn.co/image/ab67616d0000b273f97706f582c39b541fb0ce21,,https://open.spotify.com/track/0J9uaeOd7GZi9MTybtqAD4
3KXYzuwnfpFsedpZx8zYeO,Magic 2000,6jZ18ATjOFUAgDXX3H9x5w,Deborah Aime La Bagarre,13,224199,False,Magic 2000,09v4fND6l5mCO4DVDEY4Tt,2023-05-17,single,1,https://i.scdn.co/image/ab67616d0000b273d97844822875f23fd9db8014,,https://open.spotify.com/track/3KXYzuwnfpFsedpZx8zYeO
